	Event_Type	Count	Sample_sentence
0	Justice:Appeal	19	وجاء ذلك بعدما تردد ان المصرف المركزي الاوروبي يتدخل في الاسواق دعماً لعملته في خطوة حملت البعض على التخلي عن الدولار تحقيقاً للارباح عليه, ولا سيما بعدما امتنعت السلطات النقدية الاوروبية عن التعليق على هذه الانباء, في وقت قرر المرشح الديموقراطي آل غور الطعن بنتائج الانتخابات الرئاسية الاميركية امام المحكمة الفيديرالية العليا في واشنطن, في خطوة من شأنها اطالة امد الغموض وعدم الاستقرار السياسي الداخلي في الولايات المتحدة فترة اخرى.
1	Justice:Sentence	51	وقد استند بوش في دعواه الى ان قرار المحكمة العليا في فلوريدا السماح باستمرار الفرز اليدوي حتى 26 تشرين الثاني, يخالف المادة 11 من الدستور التي تقضي باختيار الناخبين الكبار من كل ولاية ,بالطريقة التي تقررها الهيئة الاشتراعية, ,كونغرس الولاية,.
2	Movement:Transport	392	مانيلا 12-18 (اف ب)- اعلنت السلطات الفيليبينية اليوم الاثنين رفضها النداء الذي وجهه اليها الرهينة الاميركي المحتجز منذ اربعة اشهر لدى متمردين اسلامييين في جنوب البلاد، للتفاوض مع محتجزيه.
3	Transaction:Transfer-Money	42	والاميركي رهينة مع مواطن فيليبيني لدى جماعة ابو سياف التي احتجزت 21 شخصا، عشرة منهم من الرعايا الغربيين، في نيسان/ابريل قبل ان تفرج عنهم في مقابل كفالة.
4	Conflict:Attack	455	"واكدت الوزارة في بيان ""لن تجرى مفاوضات اخرى مع جماعة ابو سياف بشأن شيللينغ واولاه"" وهو اسم الرهينة الفيليبيني مضيفة ان العمليات العسكرية ضد المتمردين التي انطلقت في ايلول/سبتمبر ستتواصل."
5	Personnel:End-Position	53	وافق البرلمان الصربي على تشكيل حكومة انتقالية بموجب اتفاق تم توقيعه في السادس عشر من شهر أكتوبر الحالي بين الإصلاحيين بزعامة الرئيس اليوغوسلافي فويسلاف كوستنيتشا والاشتراكيين بزعامة الرئيس السابق سلوبدان ميلوسفيتش وسوف تستمر الحكومة الانتقالية في أداء مهمتها حتى موعد إجراء الانتخابات التشريعية المزمع إجراؤها في الثالث والعشرين من شهر ديسمبر القادم ومن جهته قرر الحزب الرادكيميلى القومي المتشدد بزعامة فيوسلاف عدم المشاركة في الحكومة وامتنع عن التصويب منددا بالانتفاضة الشعبية التي وقعت في البلاد في الخامس من أكتوبر الحالي معتبرا أن ما حدث كان انقلابا
6	Personnel:Elect	37	وافق البرلمان الصربي على تشكيل حكومة انتقالية بموجب اتفاق تم توقيعه في السادس عشر من شهر أكتوبر الحالي بين الإصلاحيين بزعامة الرئيس اليوغوسلافي فويسلاف كوستنيتشا والاشتراكيين بزعامة الرئيس السابق سلوبدان ميلوسفيتش وسوف تستمر الحكومة الانتقالية في أداء مهمتها حتى موعد إجراء الانتخابات التشريعية المزمع إجراؤها في الثالث والعشرين من شهر ديسمبر القادم ومن جهته قرر الحزب الرادكيميلى القومي المتشدد بزعامة فيوسلاف عدم المشاركة في الحكومة وامتنع عن التصويب منددا بالانتفاضة الشعبية التي وقعت في البلاد في الخامس من أكتوبر الحالي معتبرا أن ما حدث كان انقلابا
7	Business:Start-Org	9	وافق البرلمان الصربي على تشكيل حكومة انتقالية بموجب اتفاق تم توقيعه في السادس عشر من شهر أكتوبر الحالي بين الإصلاحيين بزعامة الرئيس اليوغوسلافي فويسلاف كوستنيتشا والاشتراكيين بزعامة الرئيس السابق سلوبدان ميلوسفيتش وسوف تستمر الحكومة الانتقالية في أداء مهمتها حتى موعد إجراء الانتخابات التشريعية المزمع إجراؤها في الثالث والعشرين من شهر ديسمبر القادم ومن جهته قرر الحزب الرادكيميلى القومي المتشدد بزعامة فيوسلاف عدم المشاركة في الحكومة وامتنع عن التصويب منددا بالانتفاضة الشعبية التي وقعت في البلاد في الخامس من أكتوبر الحالي معتبرا أن ما حدث كان انقلابا
8	Life:Die	213	غزة 12-8 (اف ب)- اعلن مصدر طبي فلسطيني اليوم الجمعة ان فتى فلسطينيا من مدينة رفح جنوب قطاع غزة دخل في حالة موت سريري متأثرا بجروح اصيب بها الثلاثاء الماضي برصاصة في راسه اطلاقها الجيش الاسرائيلي بالقرب من الحدود الفلسطينية المصرية.
9	Life:Injure	121	غزة 12-8 (اف ب)- اعلن مصدر طبي فلسطيني اليوم الجمعة ان فتى فلسطينيا من مدينة رفح جنوب قطاع غزة دخل في حالة موت سريري متأثرا بجروح اصيب بها الثلاثاء الماضي برصاصة في راسه اطلاقها الجيش الاسرائيلي بالقرب من الحدود الفلسطينية المصرية.
10	Justice:Trial-Hearing	61	طهران 12-25 (ا ف ب)- استؤنفت صباح اليوم الاثنين في جلسة مغلقة لدى المحكمة العسكرية في طهران المحاكمة المتعلقة بقضية اغتيال معارضين ايرانيين تتهم اجهزة استخبارات النظام الاسلامي بالتورط فيها.
11	Justice:Charge-Indict	49	طهران 12-25 (ا ف ب)- استؤنفت صباح اليوم الاثنين في جلسة مغلقة لدى المحكمة العسكرية في طهران المحاكمة المتعلقة بقضية اغتيال معارضين ايرانيين تتهم اجهزة استخبارات النظام الاسلامي بالتورط فيها.
12	Justice:Arrest-Jail	100	وكان القاضي امر خلال الجلسة الاولى السبت بسجن ثلاثة اشخاص يشتبه في انهم مرتكبي الاغتيالات الاساسيين.
13	Justice:Release-Parole	28	وكانت مجموعة من 14 محاميا بينهم سليمان دعت الى الافراج عنهم فورا ورفعت الى وزير العدل ملفا ينتقد الطريقة التي تم فيها اعتقال المعارضين.
14	Contact:Meet	190	وصل الزعيم الليبى معمر القذا في اليوم زيارته للأردن المحطة الثانية في جولة عربية يقوم بها وذكر أنها ترمي إلى إنعاش دور بلاده في منطقة الشرق الأوسط بعد سنوات من العزلة: التفاصيل في تقرير مراسلتنا في عمان جمانة التميمى زار العاهل الأردنى الملك عبدالله الثاني بن الحسين والزعيم الليبي العقيد معمر القذافي صباح الخميس موقع مشروع مياه الديسي ودشنا أحد آبار المشروع الذي سيأمن الاردن نحو 150 مليون متر مكعب من مياه الشرب سنويا وكان العقيد القذافي قد تعهد بالمساعدة في تنفيذ المشروع ومن المقرر لذلك أن يجري احتفال كبير في وسط العاصمة الأردنية عمان بعد ظهر الخميس للزعيم الليبي، وتجدر الاشارة إلى أن العاهل الأردني أجرى محادثات مع الزعيم الليبى يوم الاربعاء تناولت العديد من القضايا المتعلقة بالتطورات العربية والعلاقات الثنائية ونقل عن مصادر أردنية رسمية قولها أن الملك الأردني عبدالله والعقيد القذافي أدانا العدوان الإسرائيلي والشعب الفلسطيني وصفا أعمال العنف الغير مبررة والاستفزازية، كذلك يتضمن جدول الزيارة العقيد القذافي للأردن القاء كلمة أمام البرلمان الأردني يوم السبت وكان الزعيم الليبي قد وصل إلى مدينة العقبة الأردنية المطلة على البحر الأحمر يوم الأربعاء في زيارة تستغرق أربعة أيام وتعد أول زيارة من نوعها منذ 17 عاما، ومن المتوقع أن تؤدي تلك الزيارة إلى تطوير العلاقات الثنائية الأردنية الليبية وكان العاهل الاردنى عبد الله الثانى بن الحسين قد زار ليبيا مرتين منذ توليه مقاليد الحكم في شهر فبراير شباط من عام 1999 ويعد الأردن المحطة الثانية في جولة يقوم بها العقيد القذا في في المنطقة وبدأها بزيارة مصر حيث تركزت مباحثاته مع الرئيس المصري حسني مبارك على الأحداث الدموية التي تشهدها الأراضي الفلسطينية منذ أيام ومن المقرر أن يتوجه الزعيم الليبي بعد الأردن إلى سوريا ومن ثم إلى اليمن ومن المحتمل أن يزور السعودية وفيما أعلنت وكالة الأنباء الليبية الرسمية أن العقيد القذافي يسعى إلى تشجيع الدول العربية على إنشاء اتحاد عربي إفريقى أشارت التقارير الصحفية إلى أن جولة الزعيم الليبي ترمي إلى رفع دولة في بلاده في منطقة الشرق الأوسط بعد الأوسط بعد سنوات من العزلة ويذكر أن الامم المتحدة قررت في العام الماضي تعليق العقوبات التي فرضتها على ليبيا قبل أكثر من عشر سنوات وذلك بعد موافقة لبيا على تسليم مواطنين لبيين يشتبه في تورطهما ف ي يحادث تحطم الطائرة الأمريكية فوق برج لوكربي الاستكترندية عام 88 جمانة التميمي مكتتب صوت أمريكا الاقليمي عمان
