	Event_Type	Count	Sample_sentence	Trigger	Start	End
0	Justice:Appeal	19	وجاء ذلك بعدما تردد ان المصرف المركزي الاوروبي يتدخل في الاسواق دعماً لعملته في خطوة حملت البعض على التخلي عن الدولار تحقيقاً للارباح عليه, ولا سيما بعدما امتنعت السلطات النقدية الاوروبية عن التعليق على هذه الانباء, في وقت قرر المرشح الديموقراطي آل غور الطعن بنتائج الانتخابات الرئاسية الاميركية امام المحكمة الفيديرالية العليا في واشنطن, في خطوة من شأنها اطالة امد الغموض وعدم الاستقرار السياسي الداخلي في الولايات المتحدة فترة اخرى.	الطعن	45	46
1	Justice:Appeal	19	الى ذلك, كان للطعن الذي اعلنه نائب الرئيس آل غور ضد نتائج الانتخابات الرئاسية في فلوريدا انعكاسه السلبي على معنويات المتعاملين, شأن مراجعة نتائج شركات اميركية عدة نزولا, الامر الذي عاد ودفع بمؤشر ناسداك دون عتبة الـ 2925 نقطة, فيما راح مؤشر داو جونز الصناعي يتقلب بين اعلى على 91.10621 نقطة وادنى على 33.10479 نقطة قبل ان يسجل منتصف التداول في الجلسة المسائية 56.10614 نقطة, مرتفعا 33.144 نقطة عنه الجمعة الماضي.	للطعن	4	5
2	Justice:Appeal	19	النص :    وافقت المحكمة العليا في واشنطن على النظر في احدى دعويي الاستئناف اللتين اقامهما المرشح الجمهوري للرئاسة الاميركية حاكم تكساس جورج دبليو بوش.	الاستئناف	12	13
3	Justice:Appeal	19	والدعوى التي وافق قضاة المحكمة التسعة على النظر فيها هي المتعلقة تحديداً بمقاطعة بالم بيتش.	الدعوى	0	1
4	Justice:Appeal	19	وقد استند بوش في دعواه الى ان قرار المحكمة العليا في فلوريدا السماح باستمرار الفرز اليدوي حتى 26 تشرين الثاني, يخالف المادة 11 من الدستور التي تقضي باختيار الناخبين الكبار من كل ولاية ,بالطريقة التي تقررها الهيئة الاشتراعية, ,كونغرس الولاية,.	دعواه	4	5
5	Justice:Appeal	19	ورفضت المحكمة في هذه المرحلة دعوى الاستئناف الاخرى, لان شكوى مماثلة تنظر فيها محكمة الاستئناف الفيديرالية في اتلانتا.	الاستئناف	6	7
6	Justice:Appeal	19	طهران 12-25 (ا ف ب)- استؤنفت صباح اليوم الاثنين في جلسة مغلقة لدى المحكمة العسكرية في طهران المحاكمة المتعلقة بقضية اغتيال معارضين ايرانيين تتهم اجهزة استخبارات النظام الاسلامي بالتورط فيها.	استؤنفت	8	9
7	Justice:Appeal	19	كراتشي (باكستان) 10-30 (اف ب)- رفضت محكمة باكستانية اليوم الاثنين الاستئناف المرفوع من الدولة ويطالب بتوقيع عقوبة الاعدام على رئيس الوزراء السابق نواز شريف الذي اطاحه الجيش عام 1999 كما افادت مصادر قضائية.	الاستئناف	15	16
8	Justice:Appeal	19	واشنطن 12-9 (اف ب) - وافقت المحكمة العليا في الولايات المتحدة اليوم السبت على النظر في الاستئناف الذي رفعه المرشح الجمهوري جورج بوش الابن وامرت بوقف التعداد اليدوي للاصوات في فلوريدا فورا.	الاستئناف	18	19
9	Justice:Appeal	19	وقبل بضع دقائق، ردت محكمة الاستئناف في اتلانتا دعوى بوش لمنع اجراء فرز جديد للاصوات في فلوريدا حسب ما اعلنت شبكات التلفزيون الاميركية.	دعوى	9	10
