	Unnamed: 0	Event_Type	Count	Sample_sentence	Trigger	Start	End	sentence_translation	trigger_translation
0	0	Contact:Meet	44	新华社巴西利亚１２月１５日电（记者杨立民　殷永建）南方共同 市场（南共市）第１９次首脑会议１５日在巴西南方海滨城市弗洛 里亚诺波利斯闭幕。	会议	10	11		
1	1	Contact:Meet	44	在会议上，南共市各国一致同意采取宏观经济趋同机制，确定了成 员国年通货膨胀率为５％等经济趋同目标，并就降低共同对外关税 问题达成协议，决定从２００１年起将对南共市成员国之外国家的 进口税降低０．５％。	会议	0	1	At the meeting, the countries of the Yugoslavia agreed to adopt a macroeconomic convergence mechanism, set economic convergence goals such as 5% annual inflation rates in member states, and reached an agreement on the reduction of common external tariffs. The import tax of countries other than the common city member states was reduced by 0.5%.	meeting
2	2	Contact:Meet	44	与会首脑还认为，玻利维亚同南共市双边关系的发展令人满意，决 定加快玻利维亚加入南共市的进程。	会	0	1	The leaders also considered that the development of the bilateral relationship between Bolivia and Yugoslavia was satisfactory and decided to accelerate the process of Bolivia&#39;s joining the Yugoslavia.	meeting
3	3	Contact:Meet	44	在本次会议上，南共市还与南非签署了建立自由贸易区的框架协议 ，决定成立一个谈判委员会，负责相互介绍各自的现行关税、贸易 政策和市场准入制度，研究包括相互给与优惠关税等促进贸易交流 的措施，制定谈判规则并根据世贸组织的原则进行建立自由贸易区 的谈判。	会议	0	1	At this meeting, the Yugoslav Republic of Korea also signed a framework agreement with South Africa to establish a free trade area, and decided to set up a negotiation committee to introduce each other ’s current tariffs, trade policies and market access systems. Measures such as tariffs to promote trade exchanges, formulate negotiating rules and conduct negotiations to establish free trade areas in accordance with WTO principles.	meeting
4	4	Contact:Meet	44	会议期间，代表们还参观了古巴的一些医疗设施并和当地组织和团 体进行了座谈，对古巴的现状有了更好的了解。	座谈	3	4	During the meeting, the delegates also visited some medical facilities in Cuba and held talks with local organizations and groups to better understand the current situation in Cuba.	Forum
5	5	Contact:Meet	44	新华社安曼１０月２日电（记者鲁绍明）约旦国王阿卜杜拉和来访 的巴勒斯坦民族权力机构主席阿拉法特２日在安曼会晤时表示，支 持尽快召开一次阿拉伯紧急首脑会议，讨论约旦河西岸和加沙地带 最近不断恶化的局势 。	会晤	5	6	Xinhua News Agency, Amman, October 2 (Reporter Lu Shaoming) Jordanian King Abdullah and visiting Palestinian National Arafat Chairman Arafat stated on the 2nd that they support the convening of an Arab emergency summit to discuss Jordan as soon as possible. The worsening situation in the West Bank and Gaza Strip recently.	meeting
6	6	Contact:Meet	44	阿拉法特在会晤中高度评价约旦对巴勒斯坦人民为恢复自己的合法 权利，其中包括在自己的领土上建立以耶路撒冷为首都的独立国家 权利所作的努力给予的一贯支持，并对约旦政府决定收治巴勒斯坦 伤员表示感谢。	会晤	0	1	During the meeting, Arafat spoke highly of Jordan&#39;s consistent support for the Palestinian people&#39;s efforts to restore their legitimate rights, including the right to establish an independent state with Jerusalem as their capital, in their own territory, and the decision of the Jordanian government to rule Palestine The wounded expressed gratitude.	meeting
7	7	Contact:Meet	44	一名巴勒斯坦人在加沙地带靠近一个以色列军队哨所的地方发动自 杀性爆炸攻击，把自己炸死， 伊斯兰胜战者组织表示对这次自杀 性袭击事故负责，并警告说这不是最后的一次，这名巴勒斯坦 人 骑着自行车接近以色列哨所，在保护墙墙边引爆炸弹，一名以色列 军人受轻伤，以色列军方指 责巴勒斯坦当局纵容这次袭击，巴勒 斯坦一位安全官员驳斥这种指责，当天是伊斯兰圣战者组织 领导 人西卡奇遇刺5周年，人们普遍都指责那次行刺是以色列部队干的 ，既将担任黎巴嫩总理的哈 利里组成了有将近30名成员的内阁 ，其中穆斯林和基督教徒人数相当，哈利里和拉夫德总统以及 贝 里议长开会之后宣布了这个名单，新内阁几乎比原政府的内阁大了 1倍，只包括了4名原来的内 阁成员，一些黎巴嫩政界人士指责 叙利亚干预部长的选举，给这个过程蒙上了阴影。	开会	38	39	A Palestinian launches a suicide bomber near an Israeli army post in the Gaza Strip, killing himself. The Islamic Victorious Organization has claimed responsibility for the suicide attack and warned that this was not the last time. A Palestinian rides a bicycle near an Israeli post, detonates a bomb near a protective wall, an Israeli soldier is slightly injured, the Israeli military accuses the Palestinian authorities of condoning the attack, and a Palestinian security official refutes such accusations. The 5th anniversary of the assassination of the leader of the jihadist Sikazi. It is widely accused that the assassination was carried out by Israeli forces. Hariri, who will serve as prime minister of Lebanon, formed a cabinet of nearly 30 members, including Muslims and Christians. Quite, the list was announced after a meeting between President Hariri and President Love and Speaker Bailey. The new cabinet is almost twice the size of the original government&#39;s cabinet, including only four former cabinet members. Some Lebanese politicians have accused Syria of intervening. The election of ministers cast a shadow over this process.	Have a meeting
8	8	Contact:Meet	44	新华社香港１２月１６日电　中国奥委会副主席、国家体育总局副 局长李富荣日前在这里会见香港特区民政事务局局长林焕光和香港 奥委会会长霍震霆时表示，虽然北京在申办２００８年奥运会上有 相当机会，但对手的实力也很强，能否获得主办权尚属未知数。	会见	4	5	Xinhua News Agency, Hong Kong, December 16th. Li Furong, vice chairman of the Chinese Olympic Committee and deputy director of the General Administration of Sports of China, met with Lin Huanguang, director of the Hong Kong Special Administrative Region Home Affairs Bureau, and Huo Zhenting, chairman of the Olympic Committee of the People&#39;s Republic of China. Although Beijing is bidding for the 2008 Olympic Games There are quite a few opportunities, but the strength of the opponent is also very strong, it is unknown whether it can get the right to host.	meet
9	9	Contact:Meet	44	新华社银川１２月６日电（记者孙波 刘泉龙）记者从昨天召开的 宁夏石油天然气勘查开发工作会议上获悉，为了加快宁夏油气资源 勘查开发步伐，自治区政府邀请正在宁夏进行油气资源勘查开发的 ４大油田到会，与地质专家、政府部门共同商讨加快油气资源勘查 开发的实施办法。	会议	6	7	Xinhua News Agency, Yinchuan, December 6 (Reporter Sun Bo Liu Quanlong) The reporter learned from the Ningxia Petroleum and Natural Gas Exploration and Development Working Conference held yesterday that in order to accelerate the pace of Ningxia oil and gas resources exploration and development, the autonomous region government invited Large oilfields will attend the meeting and discuss with the geological experts and government departments the measures for accelerating the exploration and development of oil and gas resources.	meeting
10	10	Contact:Meet	44	"本坛讯 ：西祠""市民论坛""第一次代表大会昨日（ 15 日） 在宁开幕，同日闭幕。"	大会	6	7	News from the altar: The first congress of the Xici &quot;Citizens Forum&quot; opened in Ningxia yesterday (15th) and closed on the same day.	General Assembly
11	11	Contact:Meet	44	"第一次""市民论坛""代表大会昨日在宁开幕，同日闭幕"	大会	4	5	The first &quot;citizen forum&quot; congress opened in Nanjing yesterday and closed on the same day	General Assembly
12	12	Contact:Meet	44	新华社新加坡１１月２３日电应新加坡总理吴作栋的邀请，中国国 务院总理朱（金字旁容）基２３日下午乘专机抵达新加坡，出席将 在这里举行的第四次东盟与中日韩领导人会晤和东盟与中国领导人 会晤。	会晤	10	11	Xinhua News Agency, Singapore, November 23rd. At the invitation of Singapore&#39;s Prime Minister Goh Chok Tong, Premier Zhu Rongji of the State Council of China arrived in Singapore by special plane on the afternoon of the 23rd to attend the fourth ASEAN, China, Japan and South Korea leaders&#39; meeting to be held here. Meeting with ASEAN and Chinese leaders.	meeting
13	13	Contact:Meet	44	新华社新加坡１１月２３日电应新加坡总理吴作栋的邀请，中国国 务院总理朱（金字旁容）基２３日下午乘专机抵达新加坡，出席将 在这里举行的第四次东盟与中日韩领导人会晤和东盟与中国领导人 会晤。	会晤	11	12	Xinhua News Agency, Singapore, November 23rd. At the invitation of Singapore&#39;s Prime Minister Goh Chok Tong, Premier Zhu Rongji of the State Council of China arrived in Singapore by special plane on the afternoon of the 23rd to attend the fourth ASEAN, China, Japan and South Korea leaders&#39; meeting to be held here. Meeting with ASEAN and Chinese leaders.	meeting
14	14	Contact:Meet	44	当天下午，朱（金字旁容）基和吴作栋在新加坡总统府举行了会见 。	会见	6	7	On the afternoon of the same day, Zhu Rongji and Wu Zuodong met at the Singapore Presidential Palace.	meet
15	15	Contact:Meet	44	在访问美国太平洋总部期间，于永波会见了美太平洋总部司令布莱 尔，并听取了太平洋总部情况介绍，参观了亚太安全研究中心和“ 皇家港”号宙斯盾巡洋舰以及其他军事单位。	会见	2	3	During his visit to the US Pacific Headquarters, Yu Yongbo met with US Pacific Headquarters Commander Blair, heard a briefing from the Pacific Headquarters, and visited the Asia-Pacific Security Research Center and the Royal Harbor Aegis cruiser and other military units.	meet
16	16	Contact:Meet	44	新华社合肥１２月３１日电（记者张曙光）今天夜里，中国科学技 术大学绿色科技中心的１０多名教授聚集在一起座谈迎接绿色科技 新世纪，并为即将离去的２０世纪守夜。	座谈	7	8	Xinhua News Agency, Hefei, December 31 (Reporter Zhang Shuguang) Tonight, more than 10 professors from the Green Science and Technology Center of the University of Science and Technology of China gathered to meet the new century of green science and technology, and to watch a vigil for the departing 20th century.	Forum
