	Event_Type	Count	Sample_sentence	Trigger	Start	End
0	Movement:Transport	713	Even as the secretary of homeland security was putting his people on high alert last month, a 30-foot Cuban patrol boat with four heavily armed men landed on American shores, utterly undetected by the Coast Guard Secretary Ridge now leads.	landed	27	28
1	Movement:Transport	713	And these bozos let four armed Cubans land on our shores when they're trying to make a high terrorist alert.	land	7	8
2	Movement:Transport	713	Senator Bumpers, of the 22 senators of the old confederacy, when I got to Washington with the Associated Press, 45 years ago, 22 of them were Democrats, nine were Republicans.	got	14	15
3	Movement:Transport	713	A man driving what appeared to be a taxicab came to the checkpoint, waved soldiers over, appeared to be having mechanical problems of some kind.	came	9	10
4	Movement:Transport	713	Since marching into Iraq, coalition troops have engaged in some fierce battles with Saddam Hussein's forces.	marching	1	2
5	Movement:Transport	713	We sent in one of our companies of about 100 men in here this morning and we took about 12 or 13 prisoners, three or four enemy were injured and they've now been flown out and we're treating them including a man who is almost dead with a gunshot wound to the chest.	sent	1	2
6	Movement:Transport	713	We sent in one of our companies of about 100 men in here this morning and we took about 12 or 13 prisoners, three or four enemy were injured and they've now been flown out and we're treating them including a man who is almost dead with a gunshot wound to the chest.	flown out	35	37
7	Movement:Transport	713	In addition to that, we know that further back behind those lines in the direction of Mosul there is heavy artillery and tanks as well, this according to the people here in this area, the local Kurds who have been going across the lines for many years basically engaged in smuggling.	going across	43	45
8	Movement:Transport	713	In addition to that, we know that further back behind those lines in the direction of Mosul there is heavy artillery and tanks as well, this according to the people here in this area, the local Kurds who have been going across the lines for many years basically engaged in smuggling.	smuggling	53	54
9	Movement:Transport	713	As our convoy rolled through southern Iraq the desperation of the people here soon became evident.	rolled	3	4
10	Movement:Transport	713	In trucks and on foot they came to the town of Safwan.	came	6	7
11	Movement:Transport	713	The troops have moved into Safwan.	moved	3	4
12	Movement:Transport	713	Rusty, what sort of crowd is showing up there?	showing up	7	9
13	Movement:Transport	713	It happened near an area abandoned earlier by Iraqi forces.	abandoned	5	6
14	Movement:Transport	713	A day ago it was controlled by Iraqi troops and packed with these land mines but now we can drive far enough to see the outskirts of Kirkuk.	drive	19	20
15	Movement:Transport	713	That's because coalition fighter jets pummeled this Iraqi position on the hills above Chamchamal and Iraqi troops made a hasty retreat.	retreat	21	22
16	Movement:Transport	713	I'm glad to see them go this one says.	go	6	7
17	Movement:Transport	713	Some Kurds took advantage of the Iraqi retreat right away.	retreat	7	8
18	Movement:Transport	713	Although the Iraqis retreated from this area, at dusk they fired what observers say were seven artillery rounds back at their former stronghold creating new fear and potentially new casualties.	retreated	3	4
19	Movement:Transport	713	It was the first unit to cross the Euphrates River and then punch northward to within 60 miles of Baghdad.	cross	6	7
20	Movement:Transport	713	It was the first unit to cross the Euphrates River and then punch northward to within 60 miles of Baghdad.	punch	12	13
21	Movement:Transport	713	We've had an absolutely terrific story, pushing forward north toward Baghdad.	forward	9	10
22	Movement:Transport	713	Mostly small arms fire, but the sand storm has enabled the Iraqis to come very close to the road, and if I sound a little nervous, it's because we're in the soft skin vehicle and everybody else is in armor.	come	14	15
23	Movement:Transport	713	"Judy, in the next hour, on our special ""WOLF BLITZER REPORTS,"" I'm going to be speaking live to her older brother who is in the Army, her younger sister who wants to be in the Army, just around the same time as Jessica is going to be arriving at Ramstein, the air base in Germany for some serious medical treatment."	arriving	55	56
24	Movement:Transport	713	Also the Pentagon is seeing lighter than expected resistance indicating at least that they may have really seriously degraded those Republican Guard divisions before the U.S. troops arrived, both in Karbala and also in Al Kut.	arrived	27	28
25	Movement:Transport	713	But the Pentagon officials stress that as they close in on Baghdad, this becomes the real dangerous part as they enter that so- called red zone where Saddam Hussein is believed to have given his commanders authority to use chemical weapons, and that use of chemical weapons remains a real fear at the Pentagon.	"close
in"	8	10
26	Movement:Transport	713	We are not expecting to drive into Baghdad suddenly and seize it in a coup de mains, or anything like that.	drive	5	6
27	Movement:Transport	713	In less than 24 hours, the U.S. 101st Airborne Division has driven Iraqi Fedayeen fighters from the key city of Najaf, pushed north in a several-pronged attack.	driven	12	13
28	Movement:Transport	713	The Army's 3rd Infantry has punched through Karbala, meeting only light resistance from the Medina Republican Guard, and moving along highway nine within 25 miles of Baghdad.	punched	6	7
29	Movement:Transport	713	Could be the most loyal fighters left as they draw into Baghdad.	draw	9	10
30	Movement:Transport	713	Well, rescued American prisoner of war Jessica Lynch is expected to arrive at Ramstein air base in Germany just about an hour from now.	arrive	12	13
31	Movement:Transport	713	CNN will have live coverage of her arrival.	arrival	7	8
32	Movement:Transport	713	This nightscope video shows troops carrying the 19-year-old Army private to a Blackhawk helicopter.	carrying	5	6
33	Movement:Transport	713	But they are doing a job, you know, I don't know the thoughts of the soldiers, the men and women that went into that building and brought her out.	went	25	26
34	Movement:Transport	713	But they are doing a job, you know, I don't know the thoughts of the soldiers, the men and women that went into that building and brought her out.	brought	30	31
35	Movement:Transport	713	We'll have more on the march toward Baghdad after a quick break.	march	6	7
36	Movement:Transport	713	U.S. forces moving ever closer to Baghdad, but military officials say they are not counting on capitulation.	moving	2	3
